Month,Category,Demand,Category_Apparel,Category_Electronics,Category_Grocery,Category_Home & Kitchen,Category_Toys,Month_Apr_Demand,Month_Aug_Demand,Month_Dec_Demand,Month_Feb_Demand,Month_Jan_Demand,Month_Jul_Demand,Month_Jun_Demand,Month_Mar_Demand,Month_May_Demand,Month_Nov_Demand,Month_Oct_Demand,Month_Sep_Demand
Jun_Demand,Grocery,1191304,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Jun_Demand,Home & Kitchen,25056,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Jun_Demand,Toys,25420,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Mar_Demand,Apparel,119780,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mar_Demand,Electronics,51947,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mar_Demand,Grocery,1199559,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mar_Demand,Home & Kitchen,24553,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Mar_Demand,Toys,25400,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
May_Demand,Apparel,115961,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
May_Demand,Electronics,52086,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
May_Demand,Grocery,1193236,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
May_Demand,Home & Kitchen,24660,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
May_Demand,Toys,25819,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Nov_Demand,Apparel,120102,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Nov_Demand,Electronics,52406,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Nov_Demand,Grocery,1190949,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Nov_Demand,Home & Kitchen,24684,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Nov_Demand,Toys,25281,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Oct_Demand,Apparel,118380,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Oct_Demand,Electronics,51961,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Oct_Demand,Grocery,1191018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Oct_Demand,Home & Kitchen,24768,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Oct_Demand,Toys,25573,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Sep_Demand,Apparel,117454,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sep_Demand,Electronics,52308,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sep_Demand,Grocery,1190849,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sep_Demand,Home & Kitchen,24769,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Sep_Demand,Toys,25729,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
